[H][C][O][O][H] = [H][C][O][O]- + [H]+ ; log_k -3.744 ; #formate-(aq)
[C][H]3[C][O][O][H] = [C][H]3[C][O][O]- + [H]+ ; log_k -4.76 ; #acetate-(aq)
[C][H]3[C][H]2[C][O][O][H] = [C][H]3[C][H]2[C][O][O]- + [H]+ ; log_k -4.874 ; #propionate-(aq)
[C][H]3([C][H]2)2[C][O][O][H] = [C][H]3([C][H]2)2[C][O][O]- + [H]+ ; log_k -4.818 ; #butyrate-(aq)
[H][O][O][C][C][O][O][H] = [H][O][O][C][C][O][O]- + [H]+ ; log_k -1.250 ; #hydrogen_oxalate-(aq)
[H][O][O][C][C][O][O]- = [O][O][C][C][O][O]-2 + [H]+ ; log_k -4.266 ; #oxalate-2(aq)
[H][O][O][C][C][H]2[C][O][O][H] = [H][O][O][C][C][H]2[C][O][O]- + [H]+ ; log_k -2.847 ; #hydrogen_malonate-(aq)
[H][O][O][C][C][H]2[C][O][O]- = [O][O][C][C][H]2[C][O][O]-2 + [H]+ ; log_k -5.696 ; #malonate-2(aq)
[H][O][O][C]([C][H]2)2[C][O][O][H] = [H][O][O][C]([C][H]2)2[C][O][O]- + [H]+ ; log_k -4.207 ; #hydrogen_succinate-(aq)
[H][O][O][C]([C][H]2)2[C][O][O]- = [O][O][C]([C][H]2)2[C][O][O]-2 + [H]+ ; log_k -5.636 ; #succinate-2(aq)
[H][O][O][C][C][H]([O][H])[C][H]([O][H])[C][O][O][H] = [H][O][O][C][C][H]([O][H])[C][H]([O][H])[C][O][O]- + [H]+ ; log_k -3.036 ; #hydrogen_tartarate-(aq)
[H][O][O][C][C][H]([O][H])[C][H]([O][H])[C][O][O]- = [O][O][C][C][H]([O][H])[C][H]([O][H])[C][O][O]-2 + [H]+ ; log_k -4.366 ; #tartarate-2(aq)
[H][O][O][C][C][H]2[C]([O][H])([C][O][O][H])[C][H]2[C][O][O][H] = [H][O][O][C][C][H]2[C]([O][H])([C][O][O][H])[C][H]2[C][O][O]- + [H]+ ; log_k -3.128 ; #dihydrogen_citrate-(aq)
