H[C]OOH = H[C]OO- + H+ ; log_k -3.744 ; #formate-(aq)
[C]H3[C]OOH = [C]H3[C]OO- + H+ ; log_k -4.76 ; #acetate-(aq)
[C]H3[C]H2[C]OOH = [C]H3[C]H2[C]OO- + H+ ; log_k -4.874 ; #propionate-(aq)
[C]H3([C]H2)2[C]OOH = [C]H3([C]H2)2[C]OO- + H+ ; log_k -4.818 ; #butyrate-(aq)
HOO[C][C]OOH = HOO[C][C]OO- + H+ ; log_k -1.250 ; #hydrogen_oxalate-(aq)
HOO[C][C]OO- = OO[C][C]OO-2 + H+ ; log_k -4.266 ; #oxalate-2(aq)
HOO[C][C]H2[C]OOH = HOO[C][C]H2[C]OO- + H+ ; log_k -2.847 ; #hydrogen_malonate-(aq)
HOO[C][C]H2[C]OO- = OO[C][C]H2[C]OO-2 + H+ ; log_k -5.696 ; #malonate-2(aq)
HOO[C]([C]H2)2[C]OOH = HOO[C]([C]H2)2[C]OO- + H+ ; log_k -4.207 ; #hydrogen_succinate-(aq)
HOO[C]([C]H2)2[C]OO- = OO[C]([C]H2)2[C]OO-2 + H+ ; log_k -5.636 ; #succinate-2(aq)
HOO[C][C]H(OH)[C]H(OH)[C]OOH = HOO[C][C]H(OH)[C]H(OH)[C]OO- + H+ ; log_k -3.036 ; #hydrogen_tartarate-(aq)
HOO[C][C]H(OH)[C]H(OH)[C]OO- = OO[C][C]H(OH)[C]H(OH)[C]OO-2 + H+ ; log_k -4.366 ; #tartarate-2(aq)
HOO[C][C]H2[C](OH)([C]OOH)[C]H2[C]OOH = HOO[C][C]H2[C](OH)([C]OOH)[C]H2[C]OO- + H+ ; log_k -3.128 ; #dihydrogen_citrate-(aq)
HOO[C][C]H2[C](OH)([C]OOH)[C]H2[C]OO- = OO[C][C]H2[C](OH)([C]OOH)[C]H2[C]OO-2 + H+ ; log_k -4.761 ; #hydrogen_citrate-2(aq)
OO[C][C]H2[C](OH)([C]OOH)[C]H2[C]OO-2 = OO[C][C]H2[C](OH)([C]OO)[C]H2[C]OO-3 + H+ ; log_k -6.396 ; #citrate-3(aq)
[C]6H5[C]OOH = [C]6H5[C]OO- + H+ ; log_k -4.202 ; #benzoate-(aq)
